,max_depth,min_samples_leaf,learn_rate,accuracy
0,4,16,0.624362416,95
1,10,14,0.477449664,97
2,7,14,0.050067114,96
3,5,12,0.023355705,96
4,6,12,0.771275168,97
5,13,11,0.290469799,96
6,6,10,0.317181208,96
7,19,10,0.757919463,96
8,2,16,0.931543624,96
9,16,13,0.904832215,96
10,12,13,0.89147651,96
11,4,16,0.504161074,96
12,2,13,0.223691275,95
13,3,11,0.01,95
14,14,15,0.517516779,95
15,10,16,0.223691275,95
16,20,12,0.878120805,95
17,10,14,0.851409396,95
18,2,15,0.063422819,94
19,9,16,0.651073826,94
20,16,15,0.771275168,94
21,12,14,0.357248322,94
22,10,14,0.637718121,94
23,4,8,0.744563758,93
24,7,12,0.757919463,93
25,5,16,0.89147651,93
26,12,10,0.38395973200000005,92
27,19,8,0.46409396,91
28,17,12,0.397315436,91
29,9,14,0.46409396,87
30,11,5,0.21033557,87
31,18,5,0.931543624,84
32,2,12,0.46409396,83
33,2,5,0.036711409,83
34,6,6,0.130201342,83
35,12,6,0.9448993290000001,82
36,5,11,0.504161074,82
37,2,7,0.477449664,82
38,10,11,0.504161074,82
39,19,8,0.89147651,82
40,10,12,0.66442953,81
41,7,16,0.651073826,81
42,20,3,0.8380536909999999,80
43,17,7,0.784630872,79
44,7,6,0.811342282,78
45,17,16,0.89147651,78
46,13,6,0.517516779,78
47,25,10,0.317181208,78
48,4,3,0.757919463,78
49,53,13,0.637718121,78
50,47,13,0.797986577,77
51,17,5,0.69114094,76
52,11,16,1.719530201,76
53,20,6,0.263758389,76
54,5,4,0.530872483,76
55,17,9,0.9448993290000001,76
56,9,16,1.198657718,74
57,9,4,0.7178523490000001,74
58,24,14,0.21033557,74
59,61,11,0.5976510070000001,73
60,13,7,0.263758389,73
61,5,10,1.038389262,73
62,1,11,0.277114094,73
63,22,14,0.09013422800000001,72
64,6,11,1.0784563759999999,72
65,17,10,1.3856375840000001,72
66,4,8,0.9448993290000001,71
67,10,10,1.8397315440000002,71
68,20,15,1.786308725,71
69,13,9,0.050067114,71
70,19,13,1.5859731540000002,71
71,57,15,0.170268456,70
72,37,14,0.66442953,70
73,35,13,0.584295302,70
74,41,16,0.370604027,69
75,47,10,0.317181208,69
76,17,7,0.063422819,69
77,10,9,0.544228188,69
78,54,10,0.397315436,69
79,55,10,0.5976510070000001,69
80,15,6,0.998322148,68
81,61,12,0.971610738,68
82,27,14,0.958255034,68
83,16,12,1.8797986580000001,67
84,5,11,1.4791275169999998,67
85,5,9,0.878120805,67
86,27,14,0.530872483,67
87,5,6,0.9448993290000001,66
88,48,13,0.023355705,66
89,46,12,0.410671141,66
90,27,15,0.637718121,66
91,58,13,0.744563758,66
92,18,11,1.011677852,66
93,43,14,0.8647651009999999,65
94,42,10,0.584295302,65
95,15,4,0.677785235,65
96,51,13,0.958255034,65
97,27,15,0.811342282,65
98,3,12,1.198657718,65
99,11,14,1.065100671,65
100,7,5,0.904832215,65
101,37,15,0.330536913,64
102,22,10,0.424026846,64
103,39,15,0.130201342,64
104,59,10,0.998322148,64
105,39,12,0.504161074,64
106,10,6,0.9448993290000001,64
107,17,15,1.011677852,64
108,34,16,0.036711409,63
109,12,8,0.744563758,63
110,8,15,1.4123489930000002,63
111,50,12,0.904832215,63
112,64,16,0.517516779,62
113,53,12,0.450738255,62
114,33,10,0.303825503,62
115,39,11,0.183624161,61
116,64,14,0.370604027,60
117,55,10,0.624362416,60
118,39,16,0.223691275,60
119,25,13,0.771275168,60
120,6,16,1.212013423,59
121,20,8,0.46409396,59
122,33,13,0.290469799,59
123,56,12,0.21033557,58
124,20,10,1.57261745,58
125,39,12,0.624362416,58
126,57,14,0.904832215,58
127,26,9,0.771275168,57
128,13,10,1.9465771809999999,57
129,61,8,0.21033557,57
130,55,16,0.170268456,56
131,11,12,1.77295302,56
132,31,4,0.8647651009999999,56
133,30,12,0.46409396,55
134,52,9,0.050067114,55
135,14,6,1.038389262,55
136,53,8,0.651073826,55
137,15,11,1.77295302,54
138,5,6,1.959932886,54
139,3,14,1.198657718,54
140,40,7,0.811342282,54
141,38,13,0.357248322,53
142,60,11,0.450738255,53
143,32,8,0.38395973200000005,53
144,57,4,0.517516779,53
145,41,5,0.878120805,53
146,14,10,1.6527516780000002,53
147,5,6,1.038389262,53
148,51,5,0.651073826,53
149,13,16,1.532550336,52
150,4,11,1.6661073830000002,52
151,43,7,0.130201342,52
152,14,5,1.105167785,52
153,34,3,0.8380536909999999,52
154,44,3,0.09013422800000001,52
155,37,12,0.8647651009999999,51
156,14,4,2.0,51
157,3,9,1.4924832209999999,51
158,17,11,1.11852349,51
159,17,4,1.505838926,51
160,45,11,0.504161074,51
161,15,5,2.0,51
162,21,16,0.677785235,51
163,19,5,1.131879195,50
164,45,6,0.46409396,50
165,34,13,0.9181879190000001,50
166,32,13,0.584295302,50
167,15,6,1.305503356,50
168,64,8,0.958255034,50
169,7,3,1.786308725,50
170,10,7,1.986644295,50
171,49,16,0.477449664,50
172,8,5,1.185302013,50
173,14,9,1.559261745,50
174,7,9,1.77295302,49
175,16,6,1.425704698,49
176,1,12,1.732885906,49
177,4,9,1.238724832,49
178,59,9,0.397315436,49
179,9,3,1.212013423,49
180,46,16,0.370604027,49
181,55,8,0.744563758,49
